id,name,country_id,established,num_teams,association
1,英格兰足球超级联赛[足球联赛],2,1992年,20,UEFA
2,西班牙足球甲级联赛,3,1929年,20队,UEFA
3,意大利足球甲级联赛,12,1898年,20队,UEFA
4,德国足球甲级联赛,1,1962年7月28日,18队,UEFA
5,法国足球甲级联赛,10,1932年,20支球队,UEFA
