id,name,country_id,established,num_teams,association
555,英格兰足球超级联赛,1112,1992年,20,UEFA
666,西班牙足球甲级联赛,1113,1929年,20队,UEFA
777,意大利足球甲级联赛,1122,1898年,20队,UEFA
888,德国足球甲级联赛,1111,1962年7月28日,18队,UEFA
999,法国足球甲级联赛,1120,1932年,20支球队,UEFA
